Op	InType	OutType	Template	DesignStat	DPD	TWDFR
mul_by_512	signed16	signed16	sync	impl	0,802	-0,071
mul_by_512	signed32	signed32	sync	impl	0,787	-0,098
mul_by_512	signed64	signed64	sync	impl	0,787	-0,098
div_by_512	unsigned16	unsigned16	sync	impl	0,825	-0,071
div_by_512	unsigned32	unsigned32	sync	impl	0,811	-0,080
div_by_512	unsigned64	unsigned64	sync	impl	0,809	-0,098
div_by_512	signed16	signed16	sync	impl	3,800	-0,077
div_by_512	signed32	signed32	sync	impl	4,252	-0,101
div_by_512	signed64	signed64	sync	impl	4,933	-0,082
dotnet_shift_left_by_10	unsigned64	unsigned64	sync	impl	0,809	-0,098
dotnet_shift_left_by_10	signed64	signed64	sync	impl	0,809	-0,098
dotnet_shift_right_by_10	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_right_by_10	signed64	signed64	sync	impl	1,003	-0,074
dotnet_shift_left_by_10	unsigned32	unsigned32	sync	impl	0,787	-0,098
dotnet_shift_left_by_10	signed32	signed32	sync	impl	0,787	-0,098
dotnet_shift_right_by_10	unsigned32	unsigned32	sync	impl	0,787	-0,098
dotnet_shift_right_by_10	signed32	signed32	sync	impl	1,283	-0,066
mul_by_1024	unsigned16	unsigned16	sync	impl	0,736	-0,071
mul_by_1024	unsigned32	unsigned32	sync	impl	0,787	-0,098
mul_by_1024	unsigned64	unsigned64	sync	impl	0,809	-0,098
mul_by_1024	signed16	signed16	sync	impl	0,736	-0,071
mul_by_1024	signed32	signed32	sync	impl	0,787	-0,098
mul_by_1024	signed64	signed64	sync	impl	0,809	-0,098
div_by_1024	unsigned16	unsigned16	sync	impl	0,736	-0,071
div_by_1024	unsigned32	unsigned32	sync	impl	0,787	-0,098
div_by_1024	unsigned64	unsigned64	sync	impl	0,787	-0,098
div_by_1024	signed16	signed16	sync	impl	3,910	-0,077
div_by_1024	signed32	signed32	sync	impl	4,494	-0,202
div_by_1024	signed64	signed64	sync	impl	5,008	-0,107
dotnet_shift_left_by_11	unsigned64	unsigned64	sync	impl	0,969	-0,074
dotnet_shift_left_by_11	signed64	signed64	sync	impl	0,969	-0,074
dotnet_shift_right_by_11	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_right_by_11	signed64	signed64	sync	impl	0,950	-0,073
dotnet_shift_left_by_11	unsigned32	unsigned32	sync	impl	0,743	-0,098
dotnet_shift_left_by_11	signed32	signed32	sync	impl	0,743	-0,098
dotnet_shift_right_by_11	unsigned32	unsigned32	sync	impl	0,787	-0,098
dotnet_shift_right_by_11	signed32	signed32	sync	impl	1,254	-0,085
mul_by_2048	unsigned16	unsigned16	sync	impl	0,736	-0,071
mul_by_2048	unsigned32	unsigned32	sync	impl	0,743	-0,098
mul_by_2048	unsigned64	unsigned64	sync	impl	0,969	-0,074
mul_by_2048	signed16	signed16	sync	impl	0,736	-0,071
mul_by_2048	signed32	signed32	sync	impl	0,743	-0,098
mul_by_2048	signed64	signed64	sync	impl	0,969	-0,074
div_by_2048	unsigned16	unsigned16	sync	impl	0,775	-0,042
div_by_2048	unsigned32	unsigned32	sync	impl	0,787	-0,098
div_by_2048	unsigned64	unsigned64	sync	impl	0,787	-0,098
div_by_2048	signed16	signed16	sync	impl	3,206	-0,101
div_by_2048	signed32	signed32	sync	impl	4,647	-0,202
div_by_2048	signed64	signed64	sync	impl	5,486	-0,083
dotnet_shift_left_by_12	unsigned64	unsigned64	sync	impl	0,813	-0,085
dotnet_shift_left_by_12	signed64	signed64	sync	impl	0,813	-0,085
dotnet_shift_right_by_12	unsigned64	unsigned64	sync	impl	0,809	-0,098
dotnet_shift_right_by_12	signed64	signed64	sync	impl	1,311	-0,085
dotnet_shift_left_by_12	unsigned32	unsigned32	sync	impl	0,787	-0,098
dotnet_shift_left_by_12	signed32	signed32	sync	impl	0,787	-0,098
dotnet_shift_right_by_12	unsigned32	unsigned32	sync	impl	0,795	-0,098
dotnet_shift_right_by_12	signed32	signed32	sync	impl	1,203	-0,067
mul_by_4096	unsigned16	unsigned16	sync	impl	0,941	-0,060
mul_by_4096	unsigned32	unsigned32	sync	impl	0,787	-0,098
mul_by_4096	unsigned64	unsigned64	sync	impl	0,813	-0,085
mul_by_4096	signed16	signed16	sync	impl	0,941	-0,060
mul_by_4096	signed32	signed32	sync	impl	0,787	-0,098
mul_by_4096	signed64	signed64	sync	impl	0,813	-0,085
div_by_4096	unsigned16	unsigned16	sync	impl	1,009	-0,060
div_by_4096	unsigned32	unsigned32	sync	impl	0,795	-0,098
div_by_4096	unsigned64	unsigned64	sync	impl	0,809	-0,098
div_by_4096	signed16	signed16	sync	impl	3,888	-0,194
div_by_4096	signed32	signed32	sync	impl	4,599	-0,185
div_by_4096	signed64	signed64	sync	impl	5,014	-0,124
dotnet_shift_left_by_13	unsigned64	unsigned64	sync	impl	0,811	-0,080
dotnet_shift_left_by_13	signed64	signed64	sync	impl	0,811	-0,080
dotnet_shift_right_by_13	unsigned64	unsigned64	sync	impl	0,809	-0,098
dotnet_shift_right_by_13	signed64	signed64	sync	impl	1,434	-0,084
dotnet_shift_left_by_13	unsigned32	unsigned32	sync	impl	0,811	-0,080
dotnet_shift_left_by_13	signed32	signed32	sync	impl	0,811	-0,080
dotnet_shift_right_by_13	unsigned32	unsigned32	sync	impl	0,809	-0,098
dotnet_shift_right_by_13	signed32	signed32	sync	impl	1,209	-0,067
mul_by_8192	unsigned16	unsigned16	sync	impl	0,775	-0,042
mul_by_8192	unsigned32	unsigned32	sync	impl	0,811	-0,080
mul_by_8192	unsigned64	unsigned64	sync	impl	0,811	-0,080
mul_by_8192	signed16	signed16	sync	impl	0,775	-0,042
mul_by_8192	signed32	signed32	sync	impl	0,811	-0,080
mul_by_8192	signed64	signed64	sync	impl	0,811	-0,080
div_by_8192	unsigned16	unsigned16	sync	impl	0,736	-0,071
div_by_8192	unsigned32	unsigned32	sync	impl	0,809	-0,098
div_by_8192	unsigned64	unsigned64	sync	impl	0,809	-0,098
div_by_8192	signed16	signed16	sync	impl	3,519	-0,114
div_by_8192	signed32	signed32	sync	impl	4,601	-0,185
div_by_8192	signed64	signed64	sync	impl	5,483	-0,207
dotnet_shift_left_by_14	unsigned64	unsigned64	sync	impl	0,809	-0,098
dotnet_shift_left_by_14	signed64	signed64	sync	impl	0,809	-0,098
dotnet_shift_right_by_14	unsigned64	unsigned64	sync	impl	0,809	-0,098
dotnet_shift_right_by_14	signed64	signed64	sync	impl	1,541	-0,030
dotnet_shift_left_by_14	unsigned32	unsigned32	sync	impl	0,802	-0,071
dotnet_shift_left_by_14	signed32	signed32	sync	impl	0,802	-0,071
dotnet_shift_right_by_14	unsigned32	unsigned32	sync	impl	0,802	-0,071
dotnet_shift_right_by_14	signed32	signed32	sync	impl	1,495	-0,084
mul_by_16384	unsigned16	unsigned16	sync	impl	0,775	-0,042
mul_by_16384	unsigned32	unsigned32	sync	impl	0,802	-0,071
mul_by_16384	unsigned64	unsigned64	sync	impl	0,809	-0,098
mul_by_16384	signed16	signed16	sync	impl	0,775	-0,042
mul_by_16384	signed32	signed32	sync	impl	0,802	-0,071
mul_by_16384	signed64	signed64	sync	impl	0,809	-0,098
div_by_16384	unsigned16	unsigned16	sync	impl	0,775	-0,042
div_by_16384	unsigned32	unsigned32	sync	impl	0,802	-0,071
div_by_16384	unsigned64	unsigned64	sync	impl	0,809	-0,098
div_by_16384	signed16	signed16	sync	impl	3,463	-0,114
div_by_16384	signed32	signed32	sync	impl	4,638	-0,184
div_by_16384	signed64	signed64	sync	impl	5,448	-0,108
dotnet_shift_left_by_15	unsigned64	unsigned64	sync	impl	0,813	-0,085
dotnet_shift_left_by_15	signed64	signed64	sync	impl	0,813	-0,085
dotnet_shift_right_by_15	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_right_by_15	signed64	signed64	sync	impl	1,285	-0,067
dotnet_shift_left_by_15	unsigned32	unsigned32	sync	impl	0,846	-0,042
dotnet_shift_left_by_15	signed32	signed32	sync	impl	0,846	-0,042
dotnet_shift_right_by_15	unsigned32	unsigned32	sync	impl	0,802	-0,071
dotnet_shift_right_by_15	signed32	signed32	sync	impl	1,434	-0,084
mul_by_32768	unsigned16	unsigned16	sync	impl	0,899	-0,066
mul_by_32768	unsigned32	unsigned32	sync	impl	0,846	-0,042
mul_by_32768	unsigned64	unsigned64	sync	impl	0,813	-0,085
mul_by_32768	signed32	signed32	sync	impl	0,846	-0,042
mul_by_32768	signed64	signed64	sync	impl	0,813	-0,085
div_by_32768	unsigned16	unsigned16	sync	impl	0,556	-0,066
div_by_32768	unsigned32	unsigned32	sync	impl	0,802	-0,071
div_by_32768	unsigned64	unsigned64	sync	impl	0,787	-0,098
div_by_32768	signed32	signed32	sync	impl	4,927	-0,192
div_by_32768	signed64	signed64	sync	impl	5,091	-0,112
dotnet_shift_left_by_16	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_left_by_16	signed64	signed64	sync	impl	0,787	-0,098
dotnet_shift_right_by_16	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_right_by_16	signed64	signed64	sync	impl	1,425	-0,066
dotnet_shift_left_by_16	unsigned32	unsigned32	sync	impl	0,802	-0,071
dotnet_shift_left_by_16	signed32	signed32	sync	impl	0,802	-0,071
dotnet_shift_right_by_16	unsigned32	unsigned32	sync	impl	0,802	-0,071
dotnet_shift_right_by_16	signed32	signed32	sync	impl	1,242	-0,070
mul_by_65536	unsigned32	unsigned32	sync	impl	0,802	-0,071
mul_by_65536	unsigned64	unsigned64	sync	impl	0,787	-0,098
mul_by_65536	signed32	signed32	sync	impl	0,802	-0,071
mul_by_65536	signed64	signed64	sync	impl	0,787	-0,098
div_by_65536	unsigned32	unsigned32	sync	impl	0,802	-0,071
div_by_65536	unsigned64	unsigned64	sync	impl	0,787	-0,098
div_by_65536	signed32	signed32	sync	impl	5,318	-0,298
div_by_65536	signed64	signed64	sync	impl	5,410	-0,112
dotnet_shift_left_by_17	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_left_by_17	signed64	signed64	sync	impl	0,787	-0,098
dotnet_shift_right_by_17	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_right_by_17	signed64	signed64	sync	impl	1,425	-0,066
dotnet_shift_left_by_17	unsigned32	unsigned32	sync	impl	0,846	-0,042
dotnet_shift_left_by_17	signed32	signed32	sync	impl	0,846	-0,042
dotnet_shift_right_by_17	unsigned32	unsigned32	sync	impl	0,846	-0,042
dotnet_shift_right_by_17	signed32	signed32	sync	impl	1,444	-0,064
mul_by_131072	unsigned32	unsigned32	sync	impl	0,846	-0,042
mul_by_131072	unsigned64	unsigned64	sync	impl	0,787	-0,098
mul_by_131072	signed32	signed32	sync	impl	0,846	-0,042
mul_by_131072	signed64	signed64	sync	impl	0,787	-0,098
div_by_131072	unsigned32	unsigned32	sync	impl	0,846	-0,042
div_by_131072	unsigned64	unsigned64	sync	impl	0,787	-0,098
div_by_131072	signed32	signed32	sync	impl	5,085	-0,186
div_by_131072	signed64	signed64	sync	impl	5,514	-0,079
dotnet_shift_left_by_18	unsigned64	unsigned64	sync	impl	0,810	-0,085
dotnet_shift_left_by_18	signed64	signed64	sync	impl	0,810	-0,085
dotnet_shift_right_by_18	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_right_by_18	signed64	signed64	sync	impl	1,918	-0,017
dotnet_shift_left_by_18	unsigned32	unsigned32	sync	impl	0,802	-0,071
dotnet_shift_left_by_18	signed32	signed32	sync	impl	0,802	-0,071
dotnet_shift_right_by_18	unsigned32	unsigned32	sync	impl	0,894	-0,077
dotnet_shift_right_by_18	signed32	signed32	sync	impl	1,487	-0,079
mul_by_262144	unsigned32	unsigned32	sync	impl	0,802	-0,071
mul_by_262144	unsigned64	unsigned64	sync	impl	0,810	-0,085
mul_by_262144	signed32	signed32	sync	impl	0,802	-0,071
mul_by_262144	signed64	signed64	sync	impl	0,810	-0,085
div_by_262144	unsigned32	unsigned32	sync	impl	0,894	-0,077
div_by_262144	unsigned64	unsigned64	sync	impl	0,787	-0,098
div_by_262144	signed32	signed32	sync	impl	4,644	-0,186
div_by_262144	signed64	signed64	sync	impl	5,663	-0,085
dotnet_shift_left_by_19	unsigned64	unsigned64	sync	impl	0,811	-0,080
dotnet_shift_left_by_19	signed64	signed64	sync	impl	0,811	-0,080
dotnet_shift_right_by_19	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_right_by_19	signed64	signed64	sync	impl	1,857	-0,017
dotnet_shift_left_by_19	unsigned32	unsigned32	sync	impl	0,802	-0,071
dotnet_shift_left_by_19	signed32	signed32	sync	impl	0,802	-0,071
dotnet_shift_right_by_19	unsigned32	unsigned32	sync	impl	0,846	-0,042
dotnet_shift_right_by_19	signed32	signed32	sync	impl	1,303	-0,079
mul_by_524288	unsigned32	unsigned32	sync	impl	0,802	-0,071
mul_by_524288	unsigned64	unsigned64	sync	impl	0,811	-0,080
mul_by_524288	signed32	signed32	sync	impl	0,802	-0,071
mul_by_524288	signed64	signed64	sync	impl	0,811	-0,080
div_by_524288	unsigned32	unsigned32	sync	impl	0,846	-0,042
div_by_524288	unsigned64	unsigned64	sync	impl	0,787	-0,098
div_by_524288	signed32	signed32	sync	impl	5,190	-0,186
div_by_524288	signed64	signed64	sync	impl	5,321	-0,103
dotnet_shift_left_by_20	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_left_by_20	signed64	signed64	sync	impl	0,787	-0,098
dotnet_shift_right_by_20	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_right_by_20	signed64	signed64	sync	impl	1,584	-0,018
dotnet_shift_left_by_20	unsigned32	unsigned32	sync	impl	0,864	-0,053
dotnet_shift_left_by_20	signed32	signed32	sync	impl	0,864	-0,053
dotnet_shift_right_by_20	unsigned32	unsigned32	sync	impl	0,802	-0,071
dotnet_shift_right_by_20	signed32	signed32	sync	impl	1,331	-0,087
mul_by_1048576	unsigned32	unsigned32	sync	impl	0,864	-0,053
mul_by_1048576	unsigned64	unsigned64	sync	impl	0,787	-0,098
mul_by_1048576	signed32	signed32	sync	impl	0,864	-0,053
mul_by_1048576	signed64	signed64	sync	impl	0,787	-0,098
div_by_1048576	unsigned32	unsigned32	sync	impl	0,802	-0,071
div_by_1048576	unsigned64	unsigned64	sync	impl	0,787	-0,098
div_by_1048576	signed32	signed32	sync	impl	5,235	-0,315
div_by_1048576	signed64	signed64	sync	impl	5,393	-0,102
dotnet_shift_left_by_21	unsigned64	unsigned64	sync	impl	0,810	-0,085
dotnet_shift_left_by_21	signed64	signed64	sync	impl	0,810	-0,085
dotnet_shift_right_by_21	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_right_by_21	signed64	signed64	sync	impl	1,571	-0,042
dotnet_shift_left_by_21	unsigned32	unsigned32	sync	impl	0,802	-0,071
dotnet_shift_left_by_21	signed32	signed32	sync	impl	0,802	-0,071
dotnet_shift_right_by_21	unsigned32	unsigned32	sync	impl	0,802	-0,071
dotnet_shift_right_by_21	signed32	signed32	sync	impl	1,560	-0,057
mul_by_2097152	unsigned32	unsigned32	sync	impl	0,802	-0,071
mul_by_2097152	unsigned64	unsigned64	sync	impl	0,810	-0,085
mul_by_2097152	signed32	signed32	sync	impl	0,802	-0,071
mul_by_2097152	signed64	signed64	sync	impl	0,810	-0,085
div_by_2097152	unsigned32	unsigned32	sync	impl	0,802	-0,071
div_by_2097152	unsigned64	unsigned64	sync	impl	0,787	-0,098
div_by_2097152	signed32	signed32	sync	impl	4,630	-0,084
div_by_2097152	signed64	signed64	sync	impl	5,391	-0,076
dotnet_shift_left_by_22	unsigned64	unsigned64	sync	impl	0,810	-0,085
dotnet_shift_left_by_22	signed64	signed64	sync	impl	0,810	-0,085
dotnet_shift_right_by_22	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_right_by_22	signed64	signed64	sync	impl	1,515	-0,024
dotnet_shift_left_by_22	unsigned32	unsigned32	sync	impl	0,802	-0,071
dotnet_shift_left_by_22	signed32	signed32	sync	impl	0,802	-0,071
dotnet_shift_right_by_22	unsigned32	unsigned32	sync	impl	0,802	-0,071
dotnet_shift_right_by_22	signed32	signed32	sync	impl	1,405	-0,058
mul_by_4194304	unsigned32	unsigned32	sync	impl	0,802	-0,071
mul_by_4194304	unsigned64	unsigned64	sync	impl	0,810	-0,085
mul_by_4194304	signed32	signed32	sync	impl	0,802	-0,071
mul_by_4194304	signed64	signed64	sync	impl	0,810	-0,085
div_by_4194304	unsigned32	unsigned32	sync	impl	0,802	-0,071
div_by_4194304	unsigned64	unsigned64	sync	impl	0,787	-0,098
div_by_4194304	signed32	signed32	sync	impl	4,323	-0,150
div_by_4194304	signed64	signed64	sync	impl	5,640	-0,099
dotnet_shift_left_by_23	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_left_by_23	signed64	signed64	sync	impl	0,787	-0,098
dotnet_shift_right_by_23	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_right_by_23	signed64	signed64	sync	impl	1,871	-0,024
dotnet_shift_left_by_23	unsigned32	unsigned32	sync	impl	0,846	-0,042
dotnet_shift_left_by_23	signed32	signed32	sync	impl	0,846	-0,042
dotnet_shift_right_by_23	unsigned32	unsigned32	sync	impl	0,846	-0,042
dotnet_shift_right_by_23	signed32	signed32	sync	impl	1,819	-0,072
mul_by_8388608	unsigned32	unsigned32	sync	impl	0,846	-0,042
mul_by_8388608	unsigned64	unsigned64	sync	impl	0,787	-0,098
mul_by_8388608	signed32	signed32	sync	impl	0,846	-0,042
mul_by_8388608	signed64	signed64	sync	impl	0,787	-0,098
div_by_8388608	unsigned32	unsigned32	sync	impl	0,846	-0,042
div_by_8388608	unsigned64	unsigned64	sync	impl	0,787	-0,098
div_by_8388608	signed32	signed32	sync	impl	4,902	-0,303
div_by_8388608	signed64	signed64	sync	impl	5,227	-0,104
dotnet_shift_left_by_24	unsigned64	unsigned64	sync	impl	0,813	-0,085
dotnet_shift_left_by_24	signed64	signed64	sync	impl	0,813	-0,085
dotnet_shift_right_by_24	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_right_by_24	signed64	signed64	sync	impl	1,792	-0,025
dotnet_shift_left_by_24	unsigned32	unsigned32	sync	impl	0,802	-0,071
dotnet_shift_left_by_24	signed32	signed32	sync	impl	0,802	-0,071
dotnet_shift_right_by_24	unsigned32	unsigned32	sync	impl	0,802	-0,071
dotnet_shift_right_by_24	signed32	signed32	sync	impl	1,847	-0,076
mul_by_16777216	unsigned32	unsigned32	sync	impl	0,802	-0,071
mul_by_16777216	unsigned64	unsigned64	sync	impl	0,813	-0,085
mul_by_16777216	signed32	signed32	sync	impl	0,802	-0,071
mul_by_16777216	signed64	signed64	sync	impl	0,813	-0,085
div_by_16777216	unsigned32	unsigned32	sync	impl	0,802	-0,071
div_by_16777216	unsigned64	unsigned64	sync	impl	0,787	-0,098
div_by_16777216	signed32	signed32	sync	impl	4,643	-0,202
div_by_16777216	signed64	signed64	sync	impl	5,858	-0,097
dotnet_shift_left_by_25	unsigned64	unsigned64	sync	impl	0,811	-0,080
dotnet_shift_left_by_25	signed64	signed64	sync	impl	0,811	-0,080
dotnet_shift_right_by_25	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_right_by_25	signed64	signed64	sync	impl	1,646	-0,025
dotnet_shift_left_by_25	unsigned32	unsigned32	sync	impl	0,802	-0,071
dotnet_shift_left_by_25	signed32	signed32	sync	impl	0,802	-0,071
dotnet_shift_right_by_25	unsigned32	unsigned32	sync	impl	0,825	-0,071
dotnet_shift_right_by_25	signed32	signed32	sync	impl	2,068	-0,082
mul_by_33554432	unsigned32	unsigned32	sync	impl	0,802	-0,071
mul_by_33554432	unsigned64	unsigned64	sync	impl	0,811	-0,080
mul_by_33554432	signed32	signed32	sync	impl	0,802	-0,071
mul_by_33554432	signed64	signed64	sync	impl	0,811	-0,080
div_by_33554432	unsigned32	unsigned32	sync	impl	0,825	-0,071
div_by_33554432	unsigned64	unsigned64	sync	impl	0,787	-0,098
div_by_33554432	signed32	signed32	sync	impl	4,512	-0,176
div_by_33554432	signed64	signed64	sync	impl	5,941	-0,018
dotnet_shift_left_by_26	unsigned64	unsigned64	sync	impl	0,813	-0,085
dotnet_shift_left_by_26	signed64	signed64	sync	impl	0,813	-0,085
dotnet_shift_right_by_26	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_right_by_26	signed64	signed64	sync	impl	2,079	-0,016
dotnet_shift_left_by_26	unsigned32	unsigned32	sync	impl	0,736	-0,071
dotnet_shift_left_by_26	signed32	signed32	sync	impl	0,736	-0,071
dotnet_shift_right_by_26	unsigned32	unsigned32	sync	impl	0,736	-0,071
dotnet_shift_right_by_26	signed32	signed32	sync	impl	1,985	-0,082
mul_by_67108864	unsigned32	unsigned32	sync	impl	0,736	-0,071
mul_by_67108864	unsigned64	unsigned64	sync	impl	0,813	-0,085
mul_by_67108864	signed32	signed32	sync	impl	0,736	-0,071
mul_by_67108864	signed64	signed64	sync	impl	0,813	-0,085
div_by_67108864	unsigned32	unsigned32	sync	impl	0,736	-0,071
div_by_67108864	unsigned64	unsigned64	sync	impl	0,787	-0,098
div_by_67108864	signed32	signed32	sync	impl	4,941	-0,160
div_by_67108864	signed64	signed64	sync	impl	6,157	-0,045
dotnet_shift_left_by_27	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_left_by_27	signed64	signed64	sync	impl	0,787	-0,098
dotnet_shift_right_by_27	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_right_by_27	signed64	signed64	sync	impl	1,652	-0,025
dotnet_shift_left_by_27	unsigned32	unsigned32	sync	impl	0,775	-0,042
dotnet_shift_left_by_27	signed32	signed32	sync	impl	0,775	-0,042
dotnet_shift_right_by_27	unsigned32	unsigned32	sync	impl	0,775	-0,042
dotnet_shift_right_by_27	signed32	signed32	sync	impl	2,135	-0,101
mul_by_134217728	unsigned32	unsigned32	sync	impl	0,775	-0,042
mul_by_134217728	unsigned64	unsigned64	sync	impl	0,787	-0,098
mul_by_134217728	signed32	signed32	sync	impl	0,775	-0,042
mul_by_134217728	signed64	signed64	sync	impl	0,787	-0,098
div_by_134217728	unsigned32	unsigned32	sync	impl	0,775	-0,042
div_by_134217728	unsigned64	unsigned64	sync	impl	0,787	-0,098
div_by_134217728	signed32	signed32	sync	impl	3,874	-0,188
div_by_134217728	signed64	signed64	sync	impl	5,841	-0,040
dotnet_shift_left_by_28	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_left_by_28	signed64	signed64	sync	impl	0,787	-0,098
dotnet_shift_right_by_28	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_right_by_28	signed64	signed64	sync	impl	2,355	-0,036
dotnet_shift_left_by_28	unsigned32	unsigned32	sync	impl	0,775	-0,042
dotnet_shift_left_by_28	signed32	signed32	sync	impl	0,775	-0,042
dotnet_shift_right_by_28	unsigned32	unsigned32	sync	impl	1,009	-0,060
dotnet_shift_right_by_28	signed32	signed32	sync	impl	1,992	-0,102
mul_by_268435456	unsigned32	unsigned32	sync	impl	0,775	-0,042
mul_by_268435456	unsigned64	unsigned64	sync	impl	0,787	-0,098
mul_by_268435456	signed32	signed32	sync	impl	0,775	-0,042
mul_by_268435456	signed64	signed64	sync	impl	0,787	-0,098
div_by_268435456	unsigned32	unsigned32	sync	impl	1,009	-0,060
div_by_268435456	unsigned64	unsigned64	sync	impl	0,787	-0,098
div_by_268435456	signed32	signed32	sync	impl	3,976	-0,149
div_by_268435456	signed64	signed64	sync	impl	6,072	-0,043
dotnet_shift_left_by_29	unsigned64	unsigned64	sync	impl	0,787	-0,098
